id,date,user,pc,url,activity,content
H-C1000-0,05/02/2011 13:05:00,C1000,PC-C1000,https://intranet.dtaa.com/home,WWW Visit,
H-C1001-0,05/02/2011 13:05:00,C1001,PC-C1001,https://intranet.dtaa.com/home,WWW Visit,
H-C1002-0,05/02/2011 13:05:00,C1002,PC-C1002,https://intranet.dtaa.com/home,WWW Visit,
H-C1003-0,05/02/2011 13:05:00,C1003,PC-C1003,https://intranet.dtaa.com/home,WWW Visit,
H-C1004-0,05/02/2011 13:05:00,C1004,PC-C1004,https://intranet.dtaa.com/home,WWW Visit,
H-C1005-0,05/02/2011 13:05:00,C1005,PC-C1005,https://intranet.dtaa.com/home,WWW Visit,
H-C1006-0,05/02/2011 13:05:00,C1006,PC-C1006,https://intranet.dtaa.com/home,WWW Visit,
H-C1007-0,05/02/2011 13:05:00,C1007,PC-C1007,https://intranet.dtaa.com/home,WWW Visit,
H-C1008-0,05/02/2011 13:05:00,C1008,PC-C1008,https://intranet.dtaa.com/home,WWW Visit,
H-C1009-0,05/02/2011 13:05:00,C1009,PC-C1009,https://intranet.dtaa.com/home,WWW Visit,
H-C1010-0,05/02/2011 13:05:00,C1010,PC-C1010,https://intranet.dtaa.com/home,WWW Visit,
H-C1011-0,05/02/2011 13:05:00,C1011,PC-C1011,https://intranet.dtaa.com/home,WWW Visit,
H-C1012-0,05/02/2011 13:05:00,C1012,PC-C1012,https://intranet.dtaa.com/home,WWW Visit,
H-C1013-0,05/02/2011 13:05:00,C1013,PC-C1013,https://intranet.dtaa.com/home,WWW Visit,
H-C1014-0,05/02/2011 13:05:00,C1014,PC-C1014,https://intranet.dtaa.com/home,WWW Visit,
H-C1015-0,05/02/2011 13:05:00,C1015,PC-C1015,https://intranet.dtaa.com/home,WWW Visit,
H-C1016-0,05/02/2011 13:05:00,C1016,PC-C1016,https://intranet.dtaa.com/home,WWW Visit,
H-C1017-0,05/02/2011 13:05:00,C1017,PC-C1017,https://intranet.dtaa.com/home,WWW Visit,
H-C1018-0,05/02/2011 13:05:00,C1018,PC-C1018,https://intranet.dtaa.com/home,WWW Visit,
H-C1019-0,05/02/2011 13:05:00,C1019,PC-C1019,https://intranet.dtaa.com/home,WWW Visit,
